feature subset,RSS
"(0, 1, 2, 4, 6, 7)",33.6427827675
"(0, 1, 2, 5, 6, 7)",33.868572946
"(0, 1, 3, 4, 5, 6)",31.9142633286
"(0, 1, 3, 4, 5, 7)",30.5397781291
"(0, 1, 3, 4, 6, 7)",32.0027751939
"(0, 1, 3, 5, 6, 7)",33.5334815777
"(0, 1, 4, 5, 6, 7)",32.1579431838
"(0, 2, 3, 4, 5, 6)",34.8628591902
"(0, 2, 3, 4, 5, 7)",33.4420890402
"(0, 2, 3, 4, 6, 7)",35.0115674752
"(0, 2, 3, 5, 6, 7)",37.2398633321
"(0, 2, 4, 5, 6, 7)",39.3868295377
"(0, 3, 4, 5, 6, 7)",33.635367125
"(1, 2, 3, 4, 5, 6)",44.7239601173
"(1, 2, 3, 4, 5, 7)",44.3246412538
"(1, 2, 3, 4, 6, 7)",44.1767959794
"(1, 2, 3, 5, 6, 7)",51.8268706215
"(1, 2, 4, 5, 6, 7)",46.917990257
"(1, 3, 4, 5, 6, 7)",44.3774600834
"(2, 3, 4, 5, 6, 7)",51.1126335744
"(0, 1, 2, 3, 4, 5, 6)",30.9586299419
"(0, 1, 2, 3, 4, 5, 7)",29.4373003174
"(0, 1, 2, 3, 4, 6, 7)",31.1946883459
"(0, 1, 2, 3, 5, 6, 7)",32.5198184806
"(0, 1, 2, 4, 5, 6, 7)",31.5707060175
"(0, 1, 3, 4, 5, 6, 7)",30.41499017
"(0, 2, 3, 4, 5, 6, 7)",33.2654329032
"(1, 2, 3, 4, 5, 6, 7)",44.0366215127
"(0, 1, 2, 3, 4, 5, 6, 7)",29.4263844599
